"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"D4N-173","Epic","","System Design & Architecture","To Do","","","2025/09/07","2025/09/07","2025/11/01","2025/11/01","purple"
"D4N-220","Story","D4N-173","Define All Assumptions","Done","Nolan Tuttle","Define All Requirements","","2025/10/03","","2025/10/12","purple"
"D4N-152","Story","D4N-173","Define Constraints","Done","Nolan Tuttle","Define All Requirements","","2025/10/03","","2025/10/12","purple"
"D4N-151","Story","D4N-173","Define Non-Functional Requirements","Done","Daniel Grijalva","Define All Requirements","","2025/10/03","","2025/10/12","purple"
"D4N-150","Story","D4N-173","Document Functional Requirements","Done","Nolan Tuttle","Define All Requirements","","2025/10/03","","2025/10/12","purple"
"D4N-149","Story","D4N-173","Gather User Needs","Done","Nolan Tuttle","Define All Requirements","","2025/10/03","","2025/10/12","purple"
"D4N-227","Story","D4N-173","CAD/Blender Design","In Progress","Daniel Grijalva","System Design Modeling","","2025/10/12","","2025/10/31","purple"
"D4N-192","Story","D4N-173","Transparency & Trust","In Progress","Nolan Tuttle","System Design Modeling","","2025/10/12","","2025/10/31","purple"
"D4N-228","Story","D4N-173","Electrical Design","Done","Nolan Tuttle","System Design Modeling","","2025/10/12","","2025/10/31","purple"
"D4N-163","Story","D4N-173","Figma UI Design","To Do","Daniel Grijalva","System Design Modeling","","2025/10/12","","2025/10/31","purple"
"D4N-161","Story","D4N-173","Database Schema","To Do","Daniel Grijalva","System Design Modeling","","2025/10/12","","2025/10/31","purple"
"D4N-162","Story","D4N-173","ERD Diagram","To Do","Daniel Grijalva","System Design Modeling","","2025/10/12","","2025/10/31","purple"
"D4N-157","Story","D4N-173","Apply Engineering Standards","Done","Nolan Tuttle","Finalize User Stories","2025/09/28","2025/10/02","2025/10/05","2025/10/05","purple"
"D4N-153","Story","D4N-173","Review Requirements","Done","Nolan Tuttle","Finalize User Stories","","2025/10/02","","2025/10/05","purple"
"D4N-213","Story","D4N-173","Materials Requirements","Done","Daniel Grijalva","Define All Requirements","","2025/10/03","","2025/10/12","purple"
"D4N-214","Story","D4N-173","Finalize Project Timeline","Done","Nolan Tuttle","Define All Requirements","","2025/10/03","","2025/10/12","purple"
"D4N-164","Story","D4N-173","Groom Jira Backlog","Done","Nolan Tuttle","Define All Requirements","","2025/10/03","","2025/10/12","purple"
"D4N-174","Epic","","Hardware & Sensor Integration","To Do","","","2025/11/01","2025/11/01","2026/02/12","2026/02/12","purple"
"D4N-181","Story","D4N-174","Light Sensor Readings","To Do","Nolan Tuttle","Initial Sensor Testing","","2025/11/02","","2025/11/30","purple"
"D4N-190","Story","D4N-174","Soil Nutrient Readings","To Do","Nolan Tuttle","Initial Sensor Testing","","2025/11/02","","2025/11/30","purple"
"D4N-199","Story","D4N-174","Soil Moisture Readings","To Do","Nolan Tuttle","Initial Sensor Testing","","2025/11/02","","2025/11/30","purple"
"D4N-200","Story","D4N-174","Temperature & Humidity Readings","To Do","Nolan Tuttle","Initial Sensor Testing","","2025/11/02","","2025/11/30","purple"
"D4N-201","Story","D4N-174","Calibrate Sensors","To Do","Nolan Tuttle","Initial Sensor Testing","","2025/11/02","","2025/11/30","purple"
"D4N-202","Story","D4N-174","Transport Data","To Do","Daniel Grijalva","Initial Sensor Testing","","2025/11/02","","2025/11/30","purple"
"D4N-175","Epic","","Control Logic & Data Processing","To Do","","","2025/11/02","2025/11/02","2026/02/13","2026/02/13","purple"
"D4N-182","Story","D4N-175","Light Sensor Logic","To Do","Nolan Tuttle","","","","","","purple"
"D4N-193","Story","D4N-175","Soil Nutrient Logic","To Do","Nolan Tuttle","","","","","","purple"
"D4N-203","Story","D4N-175","Soil Moisture Logic","To Do","Nolan Tuttle","","","","","","purple"
"D4N-204","Story","D4N-175","Anomaly Detection","To Do","Nolan Tuttle","","","","","","purple"
"D4N-205","Story","D4N-175","Data Logging","To Do","Nolan Tuttle","","","","","","purple"
